Policy_Id,Policy_State,Policy_Deductible,Insured_Sex,Incident_Severity,Vehicle_Claim_Amount,Vehicle_Age,Num_Of_Claims,Customer_Tenure,Fraud_Reported
POL107401,PA,1000,Male,Trivial,351.24,6,3,8,0
POL105834,IL,1750,Male,Total Loss,10724.403749999998,7,0,7,1
POL102122,OH,1000,Female,Minor,1783.71,12,1,2,0
POL108788,CA,1750,Female,Minor,1628.98,4,3,6,0
POL100304,IL,500,Female,Major,5329.81,15,0,3,1
POL102531,IL,1000,Female,Trivial,483.3,3,0,1,0
POL102995,OH,1750,Male,Major,4797.9,1,1,9,0
POL107659,PA,1750,Female,Minor,1851.86,11,0,4,0
POL108224,TX,500,Male,Major,6280.52,14,0,7,0
POL104448,TX,1000,Male,Trivial,537.57,12,0,6,0
POL103620,PA,1000,Female,Minor,1247.88,2,3,3,0
POL109210,OH,500,Male,Major,5658.71,16,0,2,1
POL105022,OH,500,Female,Trivial,442.64,16,0,6,1
POL107923,CA,1000,Male,Trivial,539.49,6,3,8,0
POL104475,FL,1000,Male,Minor,1410.44,10,2,6,1
POL106708,PA,1000,Male,Minor,1792.04,12,1,6,0
POL100107,IL,1000,Male,Minor,1426.87,16,3,6,1
POL103319,IL,1000,Male,Total Loss,10724.403749999998,19,2,7,1
POL105657,OH,1750,Male,Minor,1771.46,10,0,1,0
POL108790,OH,1000,Male,Minor,1648.01,8,1,1,0
POL100799,OH,500,Male,Minor,3253.96,19,1,3,1
POL106282,IL,1750,Male,Trivial,500.72,18,2,1,0
POL102516,CA,1000,Male,Major,4558.39,11,3,5,1
POL100500,PA,500,Male,Total Loss,10724.403749999998,15,2,7,1
POL108793,IL,1750,Female,Minor,955.98,13,0,5,0
POL101921,CA,500,Female,Minor,2096.5,9,1,7,0
POL104301,OH,1000,Female,Minor,1458.32,6,0,8,0
POL109112,FL,1000,Male,Major,5456.25,7,0,2,0
POL109727,NY,500,Male,Minor,1144.1,18,1,8,0
POL106271,OH,1000,Male,Major,4885.13,12,2,9,0
POL104442,NY,500,Male,Minor,1198.61,15,1,6,1
POL106728,OH,1000,Female,Major,4046.38,13,0,5,0
POL104533,TX,1000,Female,Minor,1154.69,13,1,4,0
POL100033,OH,1750,Male,Major,4317.7,7,2,5,1
POL109849,FL,1000,Male,Minor,1511.88,18,0,3,1
POL104428,NY,1000,Female,Major,4219.97,18,1,9,1
POL100568,OH,1750,Male,Minor,1726.64,2,0,8,1
POL101509,IL,1000,Male,Minor,1335.12,16,0,8,0
POL107787,OH,1000,Female,Minor,1389.01,12,1,5,0
POL100303,PA,1750,Male,Minor,1954.46,5,0,1,1
POL107548,IL,1750,Female,Total Loss,10724.403749999998,18,0,9,1
POL105529,NY,1000,Female,Minor,1302.88,2,0,9,1
POL101121,OH,500,Male,Major,4505.66,6,1,7,1
POL105204,OH,1000,Male,Trivial,370.37,9,2,9,0
POL107288,OH,1000,Female,Major,5892.1,7,1,4,0
POL105908,NY,500,Male,Total Loss,10724.403749999998,3,0,1,0
POL109841,OH,1000,Male,Major,5127.52,12,0,4,0
POL102375,NY,1000,Female,Minor,1617.31,4,2,9,0
POL102447,NY,1750,Female,Minor,1435.52,16,1,8,1
POL105453,TX,1000,Female,Major,4155.9,3,0,1,1
POL100315,PA,1000,Male,Minor,1299.83,19,1,4,0
POL108615,OH,1000,Male,Minor,1621.55,6,1,7,0
POL103526,OH,1750,Female,Minor,1521.77,11,0,7,1
POL105547,CA,500,Male,Minor,1451.95,15,2,7,1
POL108052,OH,1750,Male,Minor,1685.8,17,0,9,0
POL100096,FL,1000,Male,Major,5812.12,7,2,1,1
POL107529,NY,1000,Male,Trivial,490.42,4,0,1,0
POL101056,IL,1000,Male,Minor,1468.76,3,0,5,0
POL109676,OH,1000,Male,Minor,1577.0,13,0,4,0
POL108568,TX,1000,Female,Trivial,493.68,15,1,3,0
POL103819,FL,500,Female,Minor,1380.43,19,3,8,0
POL108535,TX,1000,Male,Total Loss,10724.403749999998,19,1,1,1
POL104111,FL,1000,Male,Major,5575.81,7,2,3,1
POL106739,OH,1000,Female,Major,5156.87,18,0,7,1
POL101496,PA,500,Male,Minor,1709.36,14,2,7,0
POL100576,CA,1750,Male,Minor,558.62,17,1,2,0
POL102270,CA,1750,Female,Minor,1584.14,17,1,2,0
POL101441,CA,1000,Male,Minor,1414.09,17,1,7,0
POL105014,NY,1750,Male,Trivial,491.35,6,0,3,0
POL105916,OH,500,Female,Trivial,579.38,4,2,9,0
POL100735,OH,500,Male,Major,4395.54,6,2,5,1
POL101071,NY,1750,Male,Minor,1703.63,11,0,2,0
POL102802,OH,1000,Male,Minor,1927.27,16,0,9,0
POL108160,OH,1000,Male,Total Loss,10724.403749999998,19,2,7,1
POL105920,CA,1750,Male,Minor,1354.45,10,1,1,0
POL105566,PA,1000,Male,Minor,1450.28,14,0,5,1
POL109669,IL,1750,Male,Trivial,393.72,9,0,8,0
POL107470,IL,1000,Female,Total Loss,10724.403749999998,19,1,1,1
POL105267,FL,1000,Male,Major,5734.86,16,0,6,1
POL106654,NY,1750,Female,Minor,1173.88,15,0,3,0
POL109811,IL,1750,Male,Total Loss,10724.403749999998,11,0,1,1
POL105400,NY,1000,Male,Trivial,452.54,2,1,3,1
POL108673,NY,1750,Male,Minor,1670.98,19,1,5,0
POL104793,NY,1000,Male,Trivial,471.12,17,1,8,0
POL108695,PA,1000,Male,Total Loss,10724.403749999998,14,0,8,1
POL100169,FL,1000,Female,Minor,1819.18,3,0,2,0
POL104574,IL,1000,Female,Major,4846.47,3,0,2,1
POL109496,FL,1750,Male,Minor,1537.41,9,0,9,0
POL100532,OH,1750,Male,Minor,1135.78,17,2,3,0
POL108291,PA,1000,Male,Minor,1554.37,13,1,7,0
POL100718,CA,500,Female,Total Loss,10724.403749999998,10,2,7,1
POL108654,TX,1000,Female,Major,4609.83,2,1,5,0
POL105807,OH,1750,Male,Minor,1733.91,7,0,2,1
POL103469,NY,1000,Male,Minor,1848.59,15,1,5,0
POL109837,NY,1000,Male,Trivial,592.92,18,3,5,0
POL100483,PA,500,Male,Major,4386.55,11,3,8,1
POL108086,OH,1000,Male,Total Loss,10724.403749999998,17,1,9,1
POL108683,PA,500,Female,Minor,1829.56,4,0,9,1
POL102039,NY,500,Female,Trivial,417.83,13,1,4,1
POL104830,IL,1000,Male,Major,6465.02,13,0,6,0
POL104961,NY,1000,Female,Minor,1668.53,9,1,7,0
POL109206,FL,1750,Male,Trivial,507.68,16,0,4,0
POL100031,NY,1750,Male,Trivial,483.12,18,0,3,0
POL100035,IL,1000,Male,Minor,1076.75,5,2,5,0
POL105974,NY,1000,Female,Trivial,438.47,19,0,8,0
POL101188,TX,500,Male,Minor,5316.51,1,0,3,0
POL100850,CA,1000,Male,Minor,1599.89,10,1,2,0
POL109691,TX,500,Female,Minor,1830.41,3,1,8,0
POL109313,TX,1000,Male,Total Loss,10724.403749999998,10,1,9,1
POL108563,OH,1000,Female,Major,4736.64,15,1,3,0
POL103058,CA,1750,Male,Minor,1446.31,15,1,5,0
POL106312,PA,500,Female,Major,3940.25,12,0,1,1
POL101217,PA,1000,Female,Minor,1411.04,5,0,8,0
POL102927,OH,1000,Male,Minor,520.62,12,2,3,0
POL105120,TX,1000,Male,Major,3809.88,10,1,7,0
POL107855,TX,1750,Female,Major,4268.61,17,0,8,0
POL102709,NY,1000,Male,Minor,1388.86,3,0,2,0
POL100251,TX,500,Male,Minor,549.33,19,1,6,0
POL108576,PA,1000,Male,Trivial,441.26,7,1,4,0
POL101597,CA,500,Female,Minor,1557.88,2,0,6,0
POL103936,TX,1000,Female,Minor,1400.04,18,2,3,0
POL104905,NY,1750,Female,Trivial,578.79,10,0,5,0
POL102885,OH,500,Female,Major,3809.65,18,1,8,1
POL104938,IL,1000,Male,Minor,1492.67,13,2,1,0
POL102167,CA,1000,Male,Major,5704.59,8,2,4,1
POL108675,TX,1000,Male,Minor,1014.13,7,3,9,1
POL101530,TX,1750,Male,Minor,1745.35,6,0,2,1
POL105303,OH,1000,Male,Total Loss,10724.403749999998,18,1,5,1
POL104622,CA,1000,Male,Major,5915.02,18,2,6,0
POL100080,OH,1000,Female,Major,4705.82,15,0,6,1
POL103316,FL,500,Female,Minor,1297.47,2,0,3,0
POL108564,FL,500,Male,Minor,1298.02,12,1,7,0
POL107030,PA,1000,Female,Trivial,377.54,9,1,1,0
POL105942,CA,1000,Female,Major,5587.15,5,0,5,1
POL103698,OH,500,Female,Major,4960.42,16,0,6,1
POL101732,FL,1000,Male,Minor,1142.72,19,2,4,1
POL100450,IL,1000,Female,Major,5809.56,10,1,9,1
POL100713,TX,1000,Male,Minor,1456.39,14,1,6,1
POL103445,PA,1750,Female,Major,4319.91,10,2,3,0
POL104209,CA,500,Male,Trivial,448.37,16,0,7,0
POL102304,OH,1750,Male,Minor,5110.45,16,0,6,1
POL106060,TX,1000,Male,Major,4999.19,2,0,5,0
POL104196,CA,500,Female,Minor,1503.16,11,0,8,0
POL109831,OH,500,Female,Minor,2062.28,7,0,7,0
POL107107,NY,1750,Female,Minor,1469.28,17,3,1,0
POL109361,IL,1750,Female,Total Loss,10724.403749999998,19,0,4,1
POL105331,TX,1750,Female,Trivial,521.98,13,3,4,0
POL103784,IL,500,Male,Trivial,528.46,10,1,1,1
POL109453,NY,1000,Male,Major,5061.77,12,0,1,1
POL103045,IL,1000,Male,Minor,1893.79,16,3,8,1
POL106478,FL,1000,Male,Total Loss,10724.403749999998,6,1,3,1
POL103582,TX,500,Female,Major,5622.48,11,2,1,0
POL109620,TX,1000,Male,Major,4744.76,8,1,4,1
POL106649,OH,1000,Female,Trivial,483.9,7,3,6,0
POL104032,CA,1750,Male,Minor,1780.23,6,0,1,0
POL108293,NY,1000,Female,Major,5149.63,15,2,1,1
POL104102,FL,500,Male,Major,5125.72,15,2,2,1
POL107020,FL,500,Male,Major,5943.66,14,1,4,1
POL106027,CA,1000,Male,Minor,1288.75,6,1,9,0
POL102335,TX,500,Female,Total Loss,10724.403749999998,8,2,1,1
